artist,song,duration_ms,year,popularity,danceability,energy,tempo,genre
Britney Spears,Oops!...I Did It Again,211160,2000,77,0.751,0.834,95.053,pop
blink-182,All The Small Things,167066,1999,79,0.434,0.897,148.726,"rock, pop"
Faith Hill,Breathe,250546,1999,66,0.529,0.496,136.859,"pop, country"
Bon Jovi,It's My Life,224493,2000,78,0.551,0.913,119.992,"rock, metal"
*NSYNC,Bye Bye Bye,200560,2000,65,0.614,0.928,172.656,pop
Sisqo,Thong Song,253733,1999,69,0.706,0.888,121.549,"hip hop, pop, R&B"
Eminem,The Real Slim Shady,284200,2000,86,0.949,0.661,104.504,hip hop
Robbie Williams,Rock DJ,258560,2000,68,0.708,0.772,103.035,"pop, rock"
Destiny's Child,Say My Name,271333,1999,75,0.713,0.678,138.009,"pop, R&B"
Modjo,Lady - Hear Me Tonight,307153,2001,77,0.72,0.808,126.041,Dance/Electronic
Gigi D'Agostino,L'Amour Toujours,238759,2011,1,0.617,0.728,139.066,pop
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,268863,1999,56,0.745,0.958,129.962,pop
Bomfunk MC's,Freestyler,306333,2000,55,0.822,0.922,163.826,pop
Sting,Desert Rose,285960,1999,62,0.586,0.659,111.989,"rock, pop"
Melanie C,Never Be The Same Again,294200,1999,61,0.689,0.685,160.067,"pop, Dance/Electronic"
Aaliyah,Try Again,284000,2002,53,0.797,0.622,93.02,"hip hop, pop, R&B"
Anastacia,I'm Outta Love - Radio Edit,245400,1999,64,0.761,0.716,119.41,pop
Alice Deejay,Better Off Alone,214883,2000,73,0.671,0.88,136.953,pop
Gigi D'Agostino,The Riddle,285426,1999,64,0.74,0.876,127.002,pop
Dr. Dre,The Next Episode,161506,1999,82,0.922,0.909,95.295,hip hop
Linkin Park,In the End,216880,2000,83,0.556,0.864,105.143,"rock, metal"
Tom Jones,Sexbomb,211893,1999,65,0.801,0.876,122.979,"rock, Folk/Acoustic, easy listening"
Sonique,It Feels So Good,240866,2000,62,0.634,0.677,135.012,pop
M.O.P.,Cold as Ice,244466,2000,54,0.656,0.88,85.565,hip hop
Melanie C,I Turn To You,352173,1999,54,0.522,0.803,135.205,"pop, Dance/Electronic"
Limp Bizkit,Take A Look Around,321040,2000,72,0.425,0.852,101.968,metal
Darude,Sandstorm,225493,2001,69,0.528,0.965,136.065,"pop, Dance/Electronic"
Da Brat,What'chu Like (feat. Tyrese),221160,2000,53,0.879,0.681,99.974,"hip hop, pop, R&B"
Moloko,The Time Is Now,318280,2000,54,0.682,0.743,127.962,"pop, Dance/Electronic"
Chicane,Don't Give Up,210786,2016,47,0.644,0.72,132.017,Dance/Electronic
DMX,Party Up,268866,1999,71,0.51,0.931,201.936,"hip hop, pop"
Debelah Morgan,Dance with Me,220106,2000,49,0.85,0.674,115.005,"pop, R&B"
Madonna,Music,225973,2000,58,0.736,0.802,119.854,pop
Ruff Endz,No More,242560,2000,52,0.839,0.641,97.004,R&B
Britney Spears,Born to Make You Happy,243533,1999,58,0.633,0.922,84.11,pop
Montell Jordan,Get It On Tonite,276266,1999,59,0.813,0.491,99.008,"hip hop, pop, R&B"
Kylie Minogue,Spinning Around,207866,2000,55,0.761,0.662,120.043,"pop, Dance/Electronic"
JAY-Z,Big Pimpin',283066,1999,69,0.88,0.814,138.083,hip hop
LeAnn Rimes,I Need You,229826,2001,61,0.478,0.736,144.705,"pop, country"
Avant,Separated,255600,2000,55,0.798,0.48,108.241,"pop, R&B"
Enrique Iglesias,Be With You,219360,1999,54,0.683,0.866,121.996,"pop, latin"
Toni Braxton,He Wasn't Man Enough,261933,2000,66,0.739,0.947,88.009,"pop, R&B"
Bow Wow,Bounce With Me (feat. Xscape) - Edited Album Version,175893,2000,36,0.852,0.75,72.016,"hip hop, pop, R&B"
Dr. Dre,Forgot About Dre,222293,1999,79,0.924,0.74,133.974,hip hop
Missy Elliott,Hot Boyz,215466,1998,49,0.727,0.445,81.125,"hip hop, pop, R&B"
Backstreet Boys,Show Me the Meaning of Being Lonely,234960,1999,68,0.63,0.625,167.998,pop
Samantha Mumba,Gotta Tell You,201946,2018,43,0.729,0.632,109.981,pop
Mýa,Case Of The Ex (Whatcha Gonna Do),236906,2000,59,0.772,0.688,98,"pop, R&B"
Mary Mary,Shackles (Praise You),198346,2000,64,0.779,0.834,100.46,R&B
Next,Wifey,243666,2004,52,0.829,0.652,99.581,"hip hop, pop, R&B"
Janet Jackson,Doesn't Really Matter,265026,2001,47,0.771,0.796,99.316,"pop, R&B"
Ricky Martin,She Bangs - English Version,280626,2000,60,0.63,0.95,143.866,"pop, latin"
Jagged Edge,He Can't Love U,244053,2000,55,0.721,0.836,126.279,"hip hop, pop, R&B"
Sisqo,Incomplete,274226,1999,60,0.746,0.443,119.311,"hip hop, pop, R&B"
JAY-Z,I Just Wanna Love U (Give It 2 Me),227866,2000,59,0.8,0.922,98.631,hip hop
Mariah Carey,Thank God I Found You (feat. Joe & 98°),257360,1999,59,0.348,0.532,129.297,"pop, R&B"
Baha Men,Who Let The Dogs Out,198400,2000,65,0.869,0.887,129.221,R&B
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",243733,1999,63,0.854,0.543,103.032,"pop, R&B"
LeAnn Rimes,Can't Fight The Moonlight,215506,2001,65,0.628,0.834,97.865,"pop, country"
Oasis,Go Let It Out,278666,2000,0,0.408,0.849,84.192,"Folk/Acoustic, rock"
DJ Ötzi,Hey Baby (Radio Mix),219240,2010,58,0.666,0.968,135.099,"pop, easy listening, Dance/Electronic"
P!nk,Most Girls,298960,2000,52,0.742,0.732,97.922,pop
Mariah Carey,Against All Odds (Take A Look at Me Now) (feat. Westlife),199480,2011,0,0.471,0.514,117.338,"pop, R&B"
Craig David,Fill Me In,257200,2000,60,0.682,0.744,132.493,"hip hop, pop, R&B"
Christina Aguilera,I Turn to You,273706,1999,61,0.599,0.47,127.177,pop
Madonna,American Pie,273533,2000,58,0.631,0.734,124.036,pop
Red Hot Chili Peppers,Otherside,255373,1999,78,0.458,0.795,123.229,rock
Sammie,I Like It,251040,2000,55,0.826,0.656,129.963,"hip hop, pop, R&B"
Craig David,7 Days,235133,2000,70,0.659,0.812,83.014,"hip hop, pop, R&B"
Santana,Maria Maria (feat. The Product G&B),261973,1999,66,0.777,0.601,97.911,"rock, blues, latin"
Kandi,Don't Think I'm Not,243533,2000,55,0.859,0.622,134.007,"pop, R&B"
P!nk,There You Go,202800,2000,55,0.822,0.847,107.908,pop
Vengaboys,Shalala Lala,214819,2000,58,0.751,0.901,124.017,pop
Ronan Keating,Life Is A Rollercoaster,234826,2000,59,0.655,0.791,118.981,"pop, rock"
Madison Avenue,Don't Call Me Baby,228140,1999,56,0.808,0.982,124.999,Dance/Electronic
